Node,lat,lon
TN_0,45.49030200167437,-73.85462107050463
TN_1,45.536063776927186,-73.57083128547575
TN_2,45.43854371510809,-73.62807545590114
TN_3,45.49492914342552,-73.59980596427799
TN_4,45.62451723158888,-73.54840288945277
TN_5,45.49248692720164,-73.73862490436261
TN_6,45.476350695954935,-73.55206724002589
TN_7,45.505475662071674,-73.70723844762877
TN_8,45.445261413484076,-73.71677871620143
TN_9,45.55015914908214,-73.65304925294937
TN_10,45.45750320353212,-73.8833720272323
TN_11,45.481286075148205,-73.57928816790952
TN_12,45.67303258240411,-73.51010967295139
TN_13,45.50021777971902,-73.66486777918931
TN_14,45.49170175821722,-73.63113690634842
TN_15,45.611458082674055,-73.61024118139515
TN_16,45.4962397316191,-73.8076656369997
TN_17,45.62767013730308,-73.50886956086325
TN_18,45.45458912887233,-73.81617447480053
TN_19,45.45723796754794,-73.60868184204557
TN_20,45.57487890392616,-73.53009393871616
TN_21,45.46640428170234,-73.7715795417001
TN_22,45.45418140138593,-73.68140563972044
TN_23,45.4264584565051,-73.93834653910602
TN_24,45.48547923959042,-73.91284371001323
TN_25,45.501395257492646,-73.56552174901304
TN_26,45.4504229921632,-73.5777639364515
TN_27,45.57585181757061,-73.57222134706713
TN_28,45.53133395341022,-73.60665577040832
TN_29,45.648538046261834,-73.56911576488258
CN_0,45.44873489160641,-73.60484041146607
CN_1,45.47541443024571,-73.81192005590012
CN_2,45.611458082674055,-73.61024118139515
CN_3,45.49898129463666,-73.72293167599568
CN_4,45.575365360748386,-73.55115764289164
CN_5,45.54074655124618,-73.62985251167885
CN_6,45.471491221561266,-73.89810786862276
CN_7,45.4980049897897,-73.57350288134045
CN_10,45.44972140743501,-73.69909217796094
CN_11,45.46640428170234,-73.7715795417001
CN_12,45.63652763892536,-73.55875932716768
CN_13,45.49595976896812,-73.64800234276886
CN_14,45.49030200167437,-73.85462107050463
