hour,direction,ru,bandwidth,service,delay,slice,duration
0,DL,RU_46,463.96092383218627,CG,80.0,eMBB,733
0,DL,RU_62,75.24592988990196,CG,80.0,eMBB,1558
0,DL,RU_43,164.4092781116786,CG,80.0,eMBB,1271
0,DL,RU_22,346.0480780835708,CG,80.0,eMBB,711
0,DL,RU_90,57.004326090510276,CG,80.0,eMBB,1117
0,DL,RU_16,91.74918801448625,CG,80.0,eMBB,832
0,DL,RU_71,96.29591326106153,CG,80.0,eMBB,989
0,DL,RU_55,14.154712423713942,CG,80.0,eMBB,1255
0,DL,RU_3,296.5739910367611,CG,80.0,eMBB,1399
0,DL,RU_31,1176.1750445385499,VS,100.0,eMBB,779
0,DL,RU_33,2265.03044458012,VS,100.0,eMBB,632
0,DL,RU_14,82.65186375316226,VS,100.0,eMBB,2555
0,DL,RU_69,173.31372749304177,VS,100.0,eMBB,1792
0,DL,RU_80,392.32840897827685,VS,100.0,eMBB,1760
0,DL,RU_20,648.7232556268538,VS,100.0,eMBB,2906
0,DL,RU_88,723.9139566268757,VS,100.0,eMBB,2138
0,UL,RU_4,1408.5274494120235,MIOT,10.0,mMTC,2
0,UL,RU_78,1287.3847601108446,MIOT,10.0,mMTC,1
0,UL,RU_19,810.785065640097,MIOT,10.0,mMTC,2
0,UL,RU_37,1366.3858592802128,MIOT,10.0,mMTC,2
0,UL,RU_29,159.5304918832199,MIOT,10.0,mMTC,3
0,UL,RU_6,296.9359983181255,MIOT,10.0,mMTC,2
0,UL,RU_35,77.97447491519846,MIOT,10.0,mMTC,1
0,UL,RU_19,127.5267306522433,MIOT,10.0,mMTC,2
0,UL,RU_57,1509.2506576337653,MIOT,10.0,mMTC,1
0,UL,RU_36,1359.5438948858236,MIOT,10.0,mMTC,2
0,UL,RU_65,1359.5438948858236,MIOT,10.0,mMTC,2
0,UL,RU_88,1552.3308658712067,MIOT,10.0,mMTC,2
0,UL,RU_31,1119.7922030268287,MIOT,10.0,mMTC,2
0,UL,RU_31,1119.7922030268287,MIOT,10.0,mMTC,2
0,UL,RU_2,968.5374566428039,MIOT,10.0,mMTC,1
0,UL,RU_69,2011.519040386142,MIOT,10.0,mMTC,2
0,UL,RU_53,779.8634033561442,MIOT,10.0,mMTC,2
0,UL,RU_37,1100.5215103785706,MIOT,10.0,mMTC,1
0,UL,RU_61,1799.8675062940113,MIOT,10.0,mMTC,2
0,UL,RU_44,2193.6849191355686,MIOT,10.0,mMTC,3
0,UL,RU_82,1159.6595875789171,MIOT,10.0,mMTC,3
0,UL,RU_54,1768.360620244088,MIOT,10.0,mMTC,1
0,UL,RU_51,1117.5712463035186,MIOT,10.0,mMTC,1
0,UL,RU_51,1117.5712463035186,MIOT,10.0,mMTC,1
0,DL,RU_34,356.88670867039684,VS,100.0,eMBB,1832
0,DL,RU_88,847.9615806109022,VS,100.0,eMBB,2361
0,UL,RU_89,1200.8781404601893,MIOT,10.0,mMTC,1
0,UL,RU_50,2220.827282359766,MIOT,10.0,mMTC,1
0,DL,RU_44,272.62179134544203,VS,100.0,eMBB,1795
0,DL,RU_78,532.870023095691,VS,100.0,eMBB,1580
0,DL,RU_57,560.7504341016089,VS,100.0,eMBB,2063
0,DL,RU_51,1236.043409512989,VS,100.0,eMBB,2246
0,DL,RU_26,2794.9145155466017,VS,100.0,eMBB,1596
0,DL,RU_54,679.4312502850086,VS,100.0,eMBB,2661
0,DL,RU_86,1234.921570841603,VS,100.0,eMBB,1948
0,UL,RU_39,1730.5820119743116,MIOT,10.0,mMTC,2
