RU_ID,lat,long
RU_0,45.47238650977344,-73.58047872763926
RU_1,45.48122606858448,-73.58363617739695
RU_2,45.4705225957477,-73.55958384573542
RU_3,45.50274920930215,-73.56606441382075
RU_4,45.52676872210665,-73.5755524265111
RU_5,45.63767311720687,-73.54226395889863
RU_6,45.47904878536949,-73.56957339527565
RU_7,45.49741261826518,-73.55513948053155
RU_8,45.50846784975995,-73.54987438388599
RU_9,45.49699407418979,-73.58686221190058
RU_10,45.5125524076074,-73.57940854688181
RU_11,45.49984812880282,-73.59589292634966
RU_12,45.45165029271588,-73.77938571109559
RU_13,45.42716714333967,-73.60818211352947
RU_14,45.52807657716104,-73.617101366911
RU_15,45.52553393404272,-73.59771225295678
RU_16,45.44773427665388,-73.6002087669653
RU_17,45.54718155285899,-73.5888784009239
RU_18,45.55728615425795,-73.60313571033213
RU_19,45.5378402173008,-73.63878106216065
RU_20,45.61136134597089,-73.55454182000692
RU_21,45.48259227285266,-73.77925146117461
RU_22,45.5912069463368,-73.52710119965843
RU_23,45.4444073546745,-73.82063328046856
RU_24,45.50455310521522,-73.83970320237609
RU_25,45.4878135623316,-73.81920464904405
RU_26,45.46477090307015,-73.81171566913252
RU_27,45.50466590090659,-73.79612662495536
RU_28,45.48374107927035,-73.66399504216334
RU_29,45.65669795691709,-73.5568909069778
RU_30,45.64037813560657,-73.58134062278737
RU_31,45.62745342741712,-73.59577647234114
RU_32,45.61425246972029,-73.61044101663138
RU_33,45.58435510591682,-73.58203199387218
RU_34,45.59266835088475,-73.62450605521292
RU_35,45.55855086151553,-73.53308667777391
RU_36,45.5673485292244,-73.56241070026208
RU_37,45.52925029034903,-73.55289610618541
RU_38,45.54005926123909,-73.67251704162474
RU_39,45.51443914817917,-73.6086737514334
RU_40,45.50183604867647,-73.61200629021859
RU_41,45.50440262866092,-73.57659341534453
RU_42,45.48859235908049,-73.56044691911542
RU_43,45.48397219178604,-73.55996329215186
RU_44,45.48311690209811,-73.57133943953083
RU_45,45.47856197116812,-73.57844938436162
RU_46,45.48720458338592,-73.54994372565845
RU_47,45.47542397395816,-73.54457600871709
RU_48,45.45130061496082,-73.55747564730342
RU_49,45.44926322358983,-73.58173887827516
RU_50,45.44249852211525,-73.58447563838497
RU_51,45.44225594767993,-73.60440705700069
RU_52,45.45883839596727,-73.61065227849757
RU_53,45.48567923528188,-73.59689508048349
RU_54,45.49028823017665,-73.60737331243764
RU_55,45.48170888717272,-73.6195242487984
RU_56,45.4328496743996,-73.63468351413093
RU_57,45.455614327585,-73.64136074004301
RU_58,45.43882876864988,-73.66425616068852
RU_59,45.43662115276112,-73.70332989417604
RU_60,45.44631985999046,-73.69340858294518
RU_61,45.46407370298795,-73.67486113768004
RU_62,45.46750327391543,-73.693096677568
RU_63,45.45791540857584,-73.71496959345248
RU_64,45.44124767911527,-73.7320366609758
RU_65,45.4763766976556,-73.73737468904704
RU_66,45.46497027953847,-73.75610145283014
RU_67,45.51493790389512,-73.67633355324026
RU_68,45.52860817522672,-73.71095751910822
RU_69,45.50859715674768,-73.73987511967817
RU_70,45.48736550270272,-73.85161272604009
RU_71,45.46245476577512,-73.85068141276037
RU_72,45.46956052385388,-73.87704492522931
RU_73,45.44544588321036,-73.88969912923527
RU_74,45.4264584565051,-73.93834653910602
RU_75,45.51208212364574,-73.63541924187243
RU_76,45.50197435599161,-73.65427474216432
RU_77,45.55648405985433,-73.63933142797889
RU_78,45.56625305793435,-73.66156748003321
RU_79,45.47421629978931,-73.59384141022645
RU_80,45.46463013489685,-73.54626932786661
RU_81,45.45862960798689,-73.58736558184249
RU_82,45.45915324228776,-73.59642085777784
RU_83,45.50683463300442,-73.87648694084203
RU_84,45.48547923959042,-73.91284371001323
RU_85,45.51048539424008,-73.56578990503257
RU_86,45.48159254273548,-73.6381560301867
RU_87,45.49142347931493,-73.63144810453615
RU_88,45.48963356062268,-73.69390427297927
RU_89,45.49818525036562,-73.7168535507988
RU_90,45.47068547041807,-73.61383578382241
RU_91,45.46476047228072,-73.62656630820962
RU_92,45.4925221147012,-73.5771625360453
RU_93,45.48920994970145,-73.57982427280014
RU_94,45.49692497818743,-73.56850978733685
RU_95,45.4909698723302,-73.56786888916797
RU_96,45.62767013730308,-73.50886956086325
RU_97,45.65963667843884,-73.51673923206056
RU_98,45.68642848636939,-73.50348011384222
RU_99,45.54105454239408,-73.56599820828261
